"UserDefinedID","Name","Description","Manufacturer","Catalog.Number","LotNumber","Weblink","Contact","Marker","AntibodyRegistryID","Clone","Fluorophore"
"BUV395 CD62L","","","BD Biosciences","565219","","","","CD62L","","SK11","BUV395"
"BUV496 CD8","","","BD Biosciences","612942","","","","CD8","","RPA-T8","BUV496"
"BUV563 CD69","","","BD Biosciences","748764","","","","CD69","","FN50","BUV563"
"BUV615 CD194","","","BD Biosciences","613000","","","","CD194","","1G1","BUV615"
"BUV661 Vd2","","","BD Biosciences","750056","","","","Vd2","","B6","BUV661"
"BUV737 CD183","","","BD Biosciences","741866","","","","CD183","","1C6/CXCR3","BUV737"
"BUV805 CD4","","","BD Biosciences","612887","","","","CD4","","SK3","BUV805"
"BV421 CD127","","","BioLegend","351310","","","","CD127","","A019D5","BV421"
"Pacific Blue CD14","","","BioLegend","301828","","","","CD14","","M5E2","Pacific Blue"
"Pacific Blue CD19","","","BioLegend","363036","","","","CD19","","SJ25C1","Pacific Blue"
"BV480 CD161","","","BD Biosciences","748279","","","","CD161","","HP-3G10","BV480"
"BV510 CD45RA","","","BioLegend","304142","","","","CD45RA","","HI100","BV510"
"BV605 CD56","","","BioLegend","362538","","","","CD56","","5.1H11","BV605"
"BV650 CD197","","","BioLegend","353234","","","","CD197","","G043H7","BV650"
"BV711 CD7","","","BD Biosciences","564018","","","","CD7","","M-T701","BV711"
"BV750 IFNg","","","BD Biosciences","566357","","","","IFNg","","B27","BV750"
"BV786 CD196","","","BD Biosciences","563704","","","","CD196","","11A9","BV786"
"Spark Blue 550 CD3","","","BioLegend","344852","","","","CD3","","SK7","Spark Blue 550"
"Alexa Fluor 488 hCD1d PBS-57","","","NIH Tetramer Core","","","","","hCD1d PBS-57","","","Alexa Fluor 488"
"Alexa Fluor 488 hCD1d unloaded","","","NIH Tetramer Core","","","","","hCD1d unloaded","","","Alexa Fluor 488"
"FITC  Va24Ja18","","","BioLegend","342906","","","","Va24Ja18","","6B11","FITC "
"PE CD314","","","BioLegend","320806","","","","CD314","","1D11","PE"
"PerCP-Cy5.5 CD26","","","BioLegend","302716","","","","CD26","","BA5b","PerCP-Cy5.5"
"PE-Cy5 CD25","","","BD Biosciences","555433","","","","CD25","","M-A251","PE-Cy5"
"PE-Dazzle 594 TNFa","","","BioLegend","502946","","","","TNFa","","MAb11","PE-Dazzle 594"
"PE-Vio 770 CD279","","","Miltenyi Biotec","130-117-698","","","","CD279","","PD1.3.1.3","PE-Vio 770"
"APC CD16","","","BioLegend","302012","","","","CD16","","3G8","APC"
"Alexa Fluor 647 hMR1 5-OP-RU","","","NIH Tetramer Core","","","","","hMR1 5-OP-RU","","","Alexa Fluor 647"
"Alexa Fluor 647 hMR1 6-FP","","","NIH Tetramer Core","","","","","hMR1 6-FP","","","Alexa Fluor 647"
"Alexa Fluor 647 Va7.2","","","BioLegend","351726","","","","Va7.2","","3C10","Alexa Fluor 647"
"APC-R700 CD107a","","","BD Biosciences","565184","","","","CD107a","","H4A3","APC-R700"
"APC-Fire 750 CD27","","","BioLegend","302846","","","","CD27","","O323","APC-Fire 750"
"APC-Fire 810 CD38","","","BioLegend","303550","","","","CD38","","HIT2","APC-Fire 810"
"Alexa Fluor 647 CD3","","","BioLegend","300415","","","","CD3","","UCHT1","Alexa Fluor 647"
"Alexa Fluor 647 CD3","","","BioLegend","317312","","","","CD3","","OKT3","Alexa Fluor 647"
