"name","Cells","Volume","ConcentrationScientific","TotalVolume","TotalScientific","TimeSeconds","Instrument","Date"
"INF041_04_01","3654","30.39","1.2e+07",0.5,"6e+06","25.2","5L","21-Jul-2025"
"INF041_04_02","3572","30.23","1.2e+07",0.5,"5.9e+06","25.1","5L","21-Jul-2025"
"INF041_09_01","1605","30.35","5.3e+06",0.5,"2.6e+06","25.1","5L","21-Jul-2025"
"INF041_09_02","1617","30.29","5.3e+06",0.5,"2.7e+06","25.1","5L","21-Jul-2025"
"INF041_Cord","2883","30.65","9.4e+06",0.5,"4.7e+06","25.2","5L","21-Jul-2025"
"INF105_04_01","3548","30.48","1.2e+07",0.5,"5.8e+06","25.1","5L","21-Jul-2025"
"INF105_04_02","4068","30.56","1.3e+07",0.5,"6.7e+06","25.3","5L","21-Jul-2025"
"INF105_09_01","1696","30.52","5.6e+06",0.5,"2.8e+06","25.1","5L","21-Jul-2025"
"INF105_09_02","2279","30.41","7.5e+06",0.5,"3.7e+06","25.1","5L","21-Jul-2025"
"INF105_Cord","6909","30.99","2.2e+07",0.5,"1.1e+07","25.1","5L","21-Jul-2025"
"INF187_04_01","1821","30.65","5.9e+06",0.5,"3e+06","25.4","5L","21-Jul-2025"
"INF187_04_02","1946","30.42","6.4e+06",0.5,"3.2e+06","25.2","5L","21-Jul-2025"
"INF187_09_01","1421","30.63","4.6e+06",0.5,"2.3e+06","25.3","5L","21-Jul-2025"
"INF187_09_02","2196","30.3","7.2e+06",0.5,"3.6e+06","25.1","5L","21-Jul-2025"
"INF187_Cord","4686","30.72","1.5e+07",0.5,"7.6e+06","25.4","5L","21-Jul-2025"
"ND006_01","3011","30.33","9.9e+06",0.5,"5e+06","25.1","5L","21-Jul-2025"
"ND050_01","2273","30.59","7.4e+06",0.5,"3.7e+06","25.1","5L","21-Jul-2025"
"NY068_01","5171","30.67","1.7e+07",0.5,"8.4e+06","25.3","5L","21-Jul-2025"
