"name","Date","CurrentConcentration","TotalVolume","TotalCells","DesiredConcentration","NeededVolume","IncreaseVolumeML","SpinDown","TubeMaxML","TotalTubes"
"INF166_00_01","27-Aug-2025",1e+07,1,"1e+07","6e+06","1.7","0.67",FALSE,1,"1.7"
"INF166_00_02","27-Aug-2025",9900000,1,"9.9e+06","6e+06","1.6","0.65",FALSE,1,"1.6"
"INF166_04_01","27-Aug-2025",1e+07,0.5,"5e+06","6e+06","0.83","0.33",FALSE,1,"0.83"
"INF166_04_02","27-Aug-2025",8800000,0.5,"4.4e+06","6e+06","0.73","0.23",FALSE,1,"0.73"
"INF166_09_01","27-Aug-2025",7700000,0.5,"3.8e+06","6e+06","0.63","0.13",FALSE,1,"0.63"
"INF166_09_02","27-Aug-2025",8600000,0.5,"4.3e+06","6e+06","0.72","0.22",FALSE,1,"0.72"
"INF199_00_01","27-Aug-2025",1.6e+07,1,"1.6e+07","6e+06","2.7","1.7",FALSE,1,"2.7"
"INF199_00_02","27-Aug-2025",1.1e+07,1,"1.1e+07","6e+06","1.8","0.83",FALSE,1,"1.8"
"INF199_04_01","27-Aug-2025",7300000,0.5,"3.6e+06","6e+06","0.6","0.1",FALSE,1,"0.6"
"INF199_04_02","27-Aug-2025",9e+06,0.5,"4.5e+06","6e+06","0.75","0.25",FALSE,1,"0.75"
"INF199_09_01","27-Aug-2025",6500000,0.5,"3.2e+06","6e+06","0.53","0.033",FALSE,1,"0.53"
"INF199_09_02","27-Aug-2025",5300000,0.5,"2.6e+06","6e+06","0.43","-0.067",TRUE,1,"0.43"
"Spin_INF199_09_02","27-Aug-2025",NA,NA,"2.6e+06","6e+06","0.43","0.43",FALSE,1,"0.43"
"INF207_00_01","27-Aug-2025",8700000,1,"8.7e+06","6e+06","1.4","0.45",FALSE,1,"1.4"
"INF207_00_02","27-Aug-2025",1e+07,1,"1e+07","6e+06","1.7","0.67",FALSE,1,"1.7"
"INF207_04_01","27-Aug-2025",7300000,0.5,"3.6e+06","6e+06","0.6","0.1",FALSE,1,"0.6"
"INF207_04_02","27-Aug-2025",8500000,0.5,"4.2e+06","6e+06","0.7","0.2",FALSE,1,"0.7"
"INF207_09_01","27-Aug-2025",7800000,0.5,"3.9e+06","6e+06","0.65","0.15",FALSE,1,"0.65"
"INF207_09_02","27-Aug-2025",6800000,0.5,"3.4e+06","6e+06","0.57","0.067",FALSE,1,"0.57"
"ND006_08","27-Aug-2025",8200000,1,"8.2e+06","6e+06","1.4","0.37",FALSE,1,"1.4"
"ND050_08","27-Aug-2025",7200000,1,"7.2e+06","6e+06","1.2","0.2",FALSE,1,"1.2"
"NY068_08","27-Aug-2025",1.7e+07,1,"1.7e+07","6e+06","2.8","1.8",FALSE,1,"2.8"
